,input-tile-id,output-tile-visible,output-tile-enabled,input-column-id,output-column-children,output-column-visible,output-column-enabled,input-box-id,output-box-visible,output-box-enabled,input-grid-id,output-grid-children,output-grid-visible,output-grid-enabled,input-and-id,output-and-conditions,input-or-id,output-or-conditions,input-not-id,output-not-condition,input-between-id,output-between-box,input-selected-id,output-selected-tile,input-header-id,output-header-visible,output-header-enabled,input-range-id,output-range-visible,output-range-enabled
input-tile-id,,,,,x,,,,,,,x,,,,,x,,x,,,,,x,,,,,,
output-tile-visible,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
output-tile-enabled,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-column-id,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,
output-column-children,x,,,x,,,,x,,,x,,,,,,x,,x,,,,,,x,,,x,,
output-column-visible,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
output-column-enabled,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-box-id,,,,,x,,,,,,,x,,,,,x,,x,,,x,,,,,,,,
output-box-visible,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
output-box-enabled,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-grid-id,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,
output-grid-children,x,,,x,,,,x,,,x,,,,,,x,,x,,,,,,x,,,x,,
output-grid-visible,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
output-grid-enabled,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-and-id,,x,x,,,x,x,,x,x,,,x,x,,x,x,x,x,x,,,,,,x,x,,x,x
output-and-conditions,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-or-id,,x,x,,,x,x,,x,x,,,x,x,,x,x,x,x,x,,,,,,x,x,,x,x
output-or-conditions,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-not-id,,x,x,,,x,x,,x,x,,,x,x,,x,x,x,x,x,,,,,,x,x,,x,x
output-not-condition,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-between-id,,x,x,,,x,x,,x,x,,,x,x,,x,,x,,x,,,,,,x,x,,x,x
output-between-box,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
input-selected-id,,x,x,,,x,x,,x,x,,,x,x,,x,,x,,x,,,,,,x,x,,x,x
output-selected-tile,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input-header-id,,,,,x,,,,,,,x,,,,,x,,x,,,,,,,,,,,
output-header-visible,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
output-header-enabled,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,
input-range-id,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,
output-range-visible,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
output-range-enabled,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,,,,
